PANTALLA,SECCIÓN,ID,tags,values html,Texto Español,Texto Italiano,Texto Inglés,Texto Portugués,Texto Francés
,especialidades_seccion6,{{$store.getters.getTags({tag:'specialties_text17'})}},specialties_text17,"
                        <p>
                            Un gestor de contenidos único y eficiente.
                        </p>
<p>
                            Manejar de manera independiente el contenido y 
                            el diseño de tu sitio web es posible si cuentas con 
                            una interfaz que controla una o varias bases de datos 
                            donde se aloja el contenido, 
                            solo contando con un sistema 
                            que te permite gestionarlo. Venden más, ten gestores más productivos y 
                            mejora notablemente la comunicación interna y 
                            externa, con una atención 100% personalizada y 
                            rápida a tus clientes, de forma fácil y útil.
                        </p>
                        <p>
                            <strong>
                                ¡Imagina tener la información de tus cliente condensada en un solo lugar! 
                            </strong>
                        </p>
                        <p>
                            Contando con un CMS y un CRM, podrás optimizar 
                            el control de las operaciones con sistemas que 
                            permiten la gestión de contenidos, así como la 
                            relación y administración de tus clientes eficientemente.
                        </p>","

 <p>¡Un gestor de contenidos único y eficiente!</p>

<p>Manejar de manera independiente el contenido y el diseño de tu sitio web es posible, si cuentas con una interfaz que controle una o varias bases de datos donde se aloje tu contenido, solo contando con un sistema que te permita gestionarlo. Vende más, ten gestores más productivos y mejora notablemente la comunicación interna y externa, con una atención 100% personalizada y rápida a tus clientes, de forma fácil y útil.

<p><strong>¡Imagina tener la información de tus cliente condensada en un solo lugar! </strong></p>

<p>Contando con un CMS y un CRM, podrás optimizar el control de las operaciones con sistemas que permitan la gestión de tus contenidos, así como la relación y administración de tus clientes eficientemente.</p>","     <p>Un gestore di contenuti unico ed efficace!  </p>   

 <p>Gestire in maniera indipendente i contenuti e il disegno della tua pagina web è oggi possibile, se puoi contare con un interfaccia che controlli una o più basi dati contemporaneamente. Aumenta le tue vendite e  migliora notevolmente la comunicazione interna ed esterna, con un servizio di attenzione al cliente veloce e  personalizzato al 100% . </p>

 <p><strong>Immagina di poter gestire tutti i principali dati dei tuoi clienti da un solo posto! </strong>   </p>

 <p>Grazie al CMS e al CRM potrai ottimizzare il controllo delle operazioni del tuo sito con sistemi che ne permetteranno la gestione dei contenuti, così come  la relazione con i clienti.</p>","<p>A unique and efficient content manager!</p>

<p>Managing the content and design of your website independently is possible, if you have an interface that controls one or more databases where your content is hosted, only with a system that allows you to manage it. Sell more, have more productive managers and significantly improve internal and external communication, with a 100% personalized and fast attention to your customers, in an easy and useful way.</p>

<p><strong>Imagine having your customer's information condensed in one place!</strong></p>

<p>With a CMS and a CRM, you can optimize the control of operations with systems that allow the management of your content, as well as the relationship and management of your customers efficiently.</p>","

<p>Um gerenciador de conteúdo único e eficiente!</p>

<p>Gerenciar o conteúdo e o design do seu site de forma independente é possível, se você tiver uma interface que controle um ou mais bancos de dados nos quais seu conteúdo está hospedado, somente com um sistema que permita gerenciá-lo. Venda mais, tenha gestores mais produtivos e melhore significativamente a comunicação interna e externa, com atendimento 100% personalizado e rápido aos seus clientes, de forma fácil e útil.</p>

<p><strong>Imagine ter as informações do seu cliente condensadas em um só lugar!</strong></p>

<p>Com um CMS e um CRM, você pode otimizar o controle das operações com sistemas que permitem o gerenciamento de seu conteúdo, bem como o relacionamento e o gerenciamento de seus clientes de forma eficiente.</p>","

<p>Un gestionnaire de contenu unique et efficace!</p>

<p>La gestion indépendante du contenu et de la conception de votre site web est possible, si vous disposez d'une interface qui contrôle une ou plusieurs bases de données sur lesquelles votre contenu est hébergé, uniquement avec un système vous permettant de le gérer. Vendez plus, avez des directeurs plus productifs et améliorez considérablement la communication interne et externe, avec une attention rapide et personnalisée à vos clients, de manière simple et utile.</p>

<p><strong>Imaginez que les informations de vos clients soient condensées au même endroit!</strong></p>

<p>Avec un CMS et un CRM, vous pouvez optimiser le contrôle des opérations grâce à des systèmes qui permettent la gestion de votre contenu, ainsi que la relation et la gestion de vos clients efficacement.</p>"
,especialidades_seccion7,{{$store.getters.getTags({tag:'specialties_title6'})}},specialties_title6,,DISEÑO GRÁFICO,DISEGNO GRAFICO,GRAPHIC DESIGN,DESIGN GRÁFICO,CONCEPTION GRAPHIQUE
,especialidades_seccion7,{{$store.getters.getTags({tag:'specialties_text18'})}},specialties_text18,,"

Crea y optimiza la identidad corporativa de tu marca, captando la atención de tus usuarios con estrategias enfocadas al concepto visual que se adapte a tu producto o servicio.

Obten los beneficios invirtiendo en un diseño gráfico de calidad que estimule a los consumidores y refuerce la imagen de tu marca; desde el branding hasta el diseño, desarrollo y producción de packaging para tus productos, con la identidad visual apropiada que permita reconocer a tu marca por su estilo propio.

","  Crea e ottimizza l'identità corporativa del tuo marchio, attirando l'attenzione dei tuoi utenti con strategie focalizzate sul concetto visuale che meglio si adatta al tuo prodotto o servizio. 

 Grazie a un disegno grafico di qualità incoraggerai all'aquisto i consumatori e al tempo stesso rafforzerai l'immagine del tuo marchio; dal branding passando per il disegno, dallo sviluppo alla produzione del packaging dei tuoi prodotti, con l'identità visuale appropiata permetterai al tuo marchio di essere facilmente riconoscibile per il suo stile esclusivo.","Create and optimize the corporate identity of your brand, capturing the attention of your users with strategies focused on the visual concept that suits your product or service.

Reap the benefits by investing in a quality graphic design that stimulates consumers and reinforces the image of your brand; from branding to the design, development and production of packaging for your products, with the appropriate visual identity that allows you to recognize your brand for its own style.

","

Crie e otimize a identidade corporativa de sua marca, capturando a atenção de seus usuários com estratégias focadas no conceito visual que atenda ao seu produto ou serviço.

Aproveite os benefícios investindo em um design gráfico de qualidade que estimule os consumidores e reforce a imagem de sua marca; do branding ao design, desenvolvimento e produção de embalagens para os seus produtos, com a identidade visual adequada que lhe permite reconhecer a sua marca para o seu próprio estilo.

","
Créez et optimisez l'image de marque de votre marque, en capturant l'attention de vos utilisateurs grâce à des stratégies centrées sur le concept visuel adapté à votre produit ou service.

Profitez des avantages en investissant dans un graphisme de qualité qui stimule les consommateurs et renforce l’image de votre marque. de la marque à la conception, au développement et à la production des emballages de vos produits, avec l'identité visuelle appropriée vous permettant de reconnaître votre marque pour son propre style.

"
,especialidades_seccion8,{{$store.getters.getTags({tag:'specialties_title7'})}},specialties_title7,,Nuestra Metodología,La nostra Metodologia,Our Methodology,Nossa Metodologia,Notre Méthodologie
,especialidades_seccion8,{{$store.getters.getTags({tag:'specialties_title8'})}},specialties_title8,,Diseño Gráfico,Branding,Branding,Branding,l'image de marque
,especialidades_seccion8,{{$store.getters.getTags({tag:'specialties_step1'})}},specialties_step1,,Paso 1,Passo 1,Step 1,Passo 1,Étape 1
,especialidades_seccion8,{{$store.getters.getTags({tag:'specialties_text19'})}},specialties_text19,,Reunión para clientes,Offi,Client Workshop,Workshop de clientes,Atelier client
,especialidades_seccion8,{{$store.getters.getTags({tag:'specialties_step2'})}},specialties_step2,,Paso 2,Passo 2,Step 2,Passo 2,Étape 2
,especialidades_seccion8,{{$store.getters.getTags({tag:'specialties_text20'})}},specialties_text20,,Investigación e inspiración.,Ricerca di ispirazione,Inspiration Research,Pesquisa de Inspiração,Recherche d'inspiration
,especialidades_seccion8,{{$store.getters.getTags({tag:'specialties_step3'})}},specialties_step3,,Paso 3,Passaggio 3,Step 3,etapa 3,Étape 3
,especialidades_seccion8,{{$store.getters.getTags({tag:'specialties_text21'})}},specialties_text21,,Dibujo a mano,Disegno a mano,Hand Drawing,Desenho à mão,Dessin à main levée
,especialidades_seccion8,{{$store.getters.getTags({tag:'specialties_step4'})}},specialties_step4,,Paso 4,Passaggio 4,Step 4,Passo 4,Étape 4
,especialidades_seccion8,{{$store.getters.getTags({tag:'specialties_text22'})}},specialties_text22,,Conceptualización digital.,Concettualizzazione digitale,Digital Conceptualization,Conceituação Digital,Conceptualisation numérique
,especialidades_seccion8,{{$store.getters.getTags({tag:'specialties_step5'})}},specialties_step5,,Paso 5,Passaggio 5,Step 5,Passo 5,Étape 5
,especialidades_seccion8,{{$store.getters.getTags({tag:'specialties_text23'})}},specialties_text23,,Presentación del cliente,Presentazione del cliente,Client Presentation,Apresentação do Cliente,Présentation client
,especialidades_seccion8,{{$store.getters.getTags({tag:'specialties_title9'})}},specialties_title9,,Diseño Web,Web design.,Web Design.,Web design.,Création de sites web.
,especialidades_seccion8,{{$store.getters.getTags({tag:'specialties_step6'})}},specialties_step6,,Paso 1,Passo 1,Step 1,Passo 1,Étape 1
,especialidades_seccion8,{{$store.getters.getTags({tag:'specialties_text24'})}},specialties_text24,,Expectativas del cliente,Aspettative del cliente,Client Expectations,Expectativas do cliente,Attentes du client
,especialidades_seccion8,{{$store.getters.getTags({tag:'specialties_step7'})}},specialties_step7,,Paso 2,Passo 2,Step 2,Passo 2,Étape 2
,especialidades_seccion8,{{$store.getters.getTags({tag:'specialties_text25'})}},specialties_text25,,Especificaciones técnicas,Specifiche tecniche,Technical Specifications,Especificações técnicas,Spécifications techniques
,especialidades_seccion8,{{$store.getters.getTags({tag:'specialties_step8'})}},specialties_step8,,Paso 3,Passaggio 3,Step 3,etapa 3,Étape 3
,especialidades_seccion8,{{$store.getters.getTags({tag:'specialties_text26'})}},specialties_text26,,Elaboración del experiencia de usuario UX / UI,Elaborazione UX / UI del percorso del cliente,Client Journey Elaboration UX/UI,Elaboração da Jornada do Cliente UX / UI,Elaboration du parcours client UX / UI
,especialidades_seccion8,{{$store.getters.getTags({tag:'specialties_step9'})}},specialties_step9,,Paso 4,Passaggio 4,Step 4,Passo 4,Étape 4
,especialidades_seccion8,{{$store.getters.getTags({tag:'specialties_text27'})}},specialties_text27,,Elaboración del diseño a la medida.,Elaborazione del design su misura,Bespoke Design Elaboration ,Elaboração de design sob medida,Élaboration de la conception sur mesure
,especialidades_seccion8,{{$store.getters.getTags({tag:'specialties_step10'})}},specialties_step10,,Paso 5,Passaggio 5,Step 5,Passo 5,Étape 5
,especialidades_seccion8,{{$store.getters.getTags({tag:'specialties_text28'})}},specialties_text28,,Presentación del cliente,Presentazione del cliente,Client Presentation ,Apresentação do Cliente,Présentation client
,especialidades_seccion8,{{$store.getters.getTags({tag:'specialties_title10'})}},specialties_title10,,Desarrollo Web,Sviluppo web.,Web Development.,Desenvolvimento web.,Développement web.
,especialidades_seccion8,{{$store.getters.getTags({tag:'specialties_step11'})}},specialties_step11,,Paso 1,Passo 1,Step 1,Passo 1,Étape 1
,especialidades_seccion8,{{$store.getters.getTags({tag:'specialties_text29'})}},specialties_text29,,Codificación del sitio web,Codifica del sito web,Website Coding,Codificação do site,Codage de site Web
,especialidades_seccion8,{{$store.getters.getTags({tag:'specialties_step12'})}},specialties_step12,,Paso 2,Passo 2,Step 2,Passo 2,Étape 2
,especialidades_seccion8,{{$store.getters.getTags({tag:'specialties_text30'})}},specialties_text30,,Prueba de sitio web,Test del sito web,Website Testing,Teste de website,Test de site web
,especialidades_seccion8,{{$store.getters.getTags({tag:'specialties_step13'})}},specialties_step13,,Paso 3,Passaggio 3,Step 3,etapa 3,Étape 3
,especialidades_seccion8,{{$store.getters.getTags({tag:'specialties_text31'})}},specialties_text31,,Contenido e Integración del SEO.,Contenuto I Integrazione SEO Elaborazione di progetti personalizzati,Content I SEO Integration Bespoke Design Elaboration ,Conteúdo I Integração SEO Anotou Elaboração de Design,Contenu I Intégration SEO Élaboration de conception sur mesure
,especialidades_seccion8,{{$store.getters.getTags({tag:'specialties_step14'})}},specialties_step14,,Paso 4,Passaggio 4,Step 4,Passo 4,Étape 4
,especialidades_seccion8,{{$store.getters.getTags({tag:'specialties_text32'})}},specialties_text32,,Presentación de la versión de prueba,Prova la presentazione della versione,Test Version Presentation,Apresentação da versão de teste,Présentation de la version test
,especialidades_seccion8,{{$store.getters.getTags({tag:'specialties_step15'})}},specialties_step15,,Paso 5,Passaggio 5,Step 5,Passo 5,Étape 5
,especialidades_seccion8,{{$store.getters.getTags({tag:'specialties_text33'})}},specialties_text33,,Lanzamiento del sitio,Andare in diretta,Go Live,Ir viver,Go Live
,especialidades_seccion8,{{$store.getters.getTags({tag:'specialties_title11'})}},specialties_title11,,Mercadeo en línea,Marketing online.,Online Marketing.,Marketing on-line.,Marketing en ligne.
,especialidades_seccion8,{{$store.getters.getTags({tag:'specialties_step16'})}},specialties_step16,,Paso 1,Passo 1,Step 1,Passo 1,Étape 1
,especialidades_seccion8,{{$store.getters.getTags({tag:'specialties_text34'})}},specialties_text34,,Optimización de motores de búsqueda,Ottimizzazioni per i motori di ricerca,Search Engine Optimizations,Otimizações de mecanismos de pesquisa,Optimisations de moteur de recherche
,especialidades_seccion8,{{$store.getters.getTags({tag:'specialties_step17'})}},specialties_step17,,Paso 2,Passo 2,Step 2,Passo 2,Étape 2
,especialidades_seccion8,{{$store.getters.getTags({tag:'specialties_text35'})}},specialties_text35,,Publicidad en buscadores,Pubblicità sui motori di ricerca,Search Engine Advertising ,Publicidade no motor de pesquisa,Publicité dans les moteurs de recherche
,especialidades_seccion8,{{$store.getters.getTags({tag:'specialties_step18'})}},specialties_step18,,Paso 3,Passaggio 3,Step 3,etapa 3,Étape 3
,especialidades_seccion8,{{$store.getters.getTags({tag:'specialties_text36'})}},specialties_text36,,Gestión de redes sociales,Gestione dei social media,Social Media Management,Gestão de Mídias Sociais,Gestion des médias sociaux
,especialidades_seccion8,{{$store.getters.getTags({tag:'specialties_step19'})}},specialties_step19,,Paso 4,Passaggio 4,Step 4,Passo 4,Étape 4
,especialidades_seccion8,{{$store.getters.getTags({tag:'specialties_text37'})}},specialties_text37,,Análisis de resultados,Analisi dei risultati,Results Analysis,Análise de Resultados,L'analyse des résultats
,especialidades_seccion8,{{$store.getters.getTags({tag:'specialties_step21'})}},specialties_step21,,Paso 5,Passaggio 5,Step 5,Passo 5,Étape 5
,especialidades_seccion8,{{$store.getters.getTags({tag:'specialties_text38'})}},specialties_text38,,Actualizaciones continuas,Ottimizzazioni continue,Continuous Optimizations,Otimizações contínuas,Optimisations continues
,especialidades_seccion9,$store.getters.getTags({ tag: 'footer_jumper_company' }) }},footer_jumper_company,,Jumperr Digital Company ,Jumperr Digital Company ,Jumperr Digital Company ,Jumperr Digital Company ,Jumperr Digital Company 
,especialidades_seccion9,{{$store.getters.getTags({tag:'footer_jumper_description'})}},footer_jumper_description,,"Jumperr Digital Company Lleva mas de 5 años en el mundo del desarrollo digital. Hemos trabajado con todo tipo de empresas, grandes y pequeñas, en casi todas las industrias. Startups, pymes, multinacionales, gobiernos, entregando soluciones y satisfacción.","Jumperr Digital Company Ci vogliono più di 5 anni nel mondo dello sviluppo digitale. Abbiamo lavorato con tutti i tipi di aziende, grandi e piccole, in quasi tutti i settori. Startup, PMI, multinazionali, governi, offrendo soluzioni e soddisfazione.","Jumperr Digital Company It takes more than 5 years in the world of digital development. We have worked with all types of companies, large and small, in almost all industries. Startups, SMEs, multinationals, governments, delivering solutions and satisfaction.","Jumperr Digital Company Demora mais de 5 anos no mundo do desenvolvimento digital. Temos trabalhado com todos os tipos de empresas, grandes e pequenas, em quase todas as indústrias. Startups, PMEs, multinacionais, governos, entregando soluções e satisfação.","Jumperr Digital Company Il faut plus de 5 ans dans le monde du développement numérique. Nous avons travaillé avec tous les types de sociétés, grandes et petites, dans presque toutes les industries. Startups, PME, multinationales, gouvernements, solutions et satisfaction."
,especialidades_seccion9,{{$store.getters.getTags({tag:'footer_jumper_labelemail'})}},footer_jumper_labelemail,,Correo :,mail:,Mail :,Mail:,Mail:
,especialidades_seccion9,{{$store.getters.getTags({tag:'footer_jumper_email'})}},footer_jumper_email,,Info@jumperr.com,Info@jumperr.com,Info@jumperr.com,Info@jumperr.com,Info@jumperr.com
,especialidades_seccion9,{{$store.getters.getTags({tag:'specialties_title13'})}},specialties_title13,,Links,link,Links,Links,Liens
,especialidades_seccion9,{{$store.getters.getTags({tag:'general_btn_company'})}},general_btn_company,,La compañia,La compagnia,The company,A companhia,La compagnie
,especialidades_seccion9,{{$store.getters.getTags({tag:'general_btn_especialities'})}},general_btn_especialities,,Especialidades,specialità,Specialties,Especialidades,Spécialités
,especialidades_seccion9,{{$store.getters.getTags({tag:'general_btn_blog'})}},general_btn_blog,,Blog,blog,Blog,Blog,Blog
,especialidades_seccion9,{{$store.getters.getTags({tag:'general_btn_agencies'})}},general_btn_agencies,,Agencias,agenzie,Agencies,Agências,Agences
,especialidades_seccion9,{{$store.getters.getTags({tag:'general_btn_careers'})}},general_btn_careers,,Carreras,corsa,Careers,Carreiras,Carrières
,especialidades_seccion9,{{$store.getters.getTags({tag:'general_btn_contact'})}},general_btn_contact,,Contactanos,Contattaci,Contact us,Entre em contato conosco,Nous contacter
,especialidades_seccion9,{{$store.getters.getTags({tag:'specialties_title14'})}},specialties_title14,,Servicios,servizi,Services,Serviços,Les services
,especialidades_seccion9,{{$store.getters.getTags({tag:'specialties_text47'})}},specialties_text47,,Jumperr Start,Jumperr Start,Jumperr Start,Jumperr Start,Jumperr Start
,especialidades_seccion9,{{$store.getters.getTags({tag:'specialties_text48'})}},specialties_text48,,Desarollo Web,Sviluppo Web,Web Development,Desenvolvimento Web,Développement Web
,especialidades_seccion9,{{$store.getters.getTags({tag:'specialties_text49'})}},specialties_text49,,Cms,Cms,Cms,Cms,Cms
,especialidades_seccion9,{{$store.getters.getTags({tag:'specialties_text50'})}},specialties_text50,,Crm,crm,Crm,Crm,Crm
,especialidades_seccion9,{{$store.getters.getTags({tag:'specialties_text51'})}},specialties_text51,,Apps,applicazioni,Apps,Apps,Applications
,especialidades_seccion9,{{$store.getters.getTags({tag:'specialties_text52'})}},specialties_text52,,Redes Sociales,Reti sociali,Social networks,Redes sociais,Réseaux sociaux
,especialidades_seccion9,{{$store.getters.getTags({tag:'specialties_title15'})}},specialties_title15,,Tags,tag,Tags,Tags,Tags
,especialidades_seccion9,{{$store.getters.getTags({tag:'specialties_text53'})}},specialties_text53,,UX/UI,UX / UI,UX / UI,UX / UI,UX / UI
,especialidades_seccion9,{{$store.getters.getTags({tag:'specialties_text54'})}},specialties_text54,,Diseño,disegno,Design,Design,Conception
,especialidades_seccion9,{{$store.getters.getTags({tag:'specialties_text55'})}},specialties_text55,,Olbia,Olbia,Olbia,Olbia,Olbia
,especialidades_seccion9,{{$store.getters.getTags({tag:'specialties_text56'})}},specialties_text56,,Argentina,Argentina,Argentina,Argentina,Argentine
,especialidades_seccion9,{{$store.getters.getTags({tag:'specialties_text57'})}},specialties_text57,,Creatividad,creatività,Creativity,Criatividade,La créativité
,especialidades_seccion9,{{$store.getters.getTags({tag:'specialties_text58'})}},specialties_text58,,Italia,Italia,Italy,Itália,Italie
,especialidades_seccion9,{{$store.getters.getTags({tag:'specialties_text59'})}},specialties_text59,,RRSS,RRSS,RRSS,RRSS,RRSS
,especialidades_seccion9,{{$store.getters.getTags({tag:'specialties_text60'})}},specialties_text60,,SEO,SEO,SEO,SEO,SEO
,especialidades_seccion9,{{$store.getters.getTags({tag:'specialties_text61'})}},specialties_text61,,Web Site,Sito Web,Web Site,Web Site,Site web
,especialidades_seccion9,{{$store.getters.getTags({tag:'specialties_text62'})}},specialties_text62,,Marketing,marketing,Marketing,Marketing,Le marketing
,especialidades_seccion9,{{$store.getters.getTags({tag:'specialties_link1'})}},specialties_link1,,Enlace Facebook,Link di Facebook,Facebook link,Link do Facebook,Lien Facebook
,especialidades_seccion9,{{$store.getters.getTags({tag:'specialties_link2'})}},specialties_link2,,Enlace Linkedin,Link Linkedin,Link Linkedin,Link Linkedin,Lien Linkedin
,especialidades_seccion9,{{$store.getters.getTags({tag:'specialties_link3'})}},specialties_link3,,Enlace Instagram,Collegamento Instagram,Instagram link,Link do Instagram,Lien Instagram
,especialidades_seccion9,{{$store.getters.getTags({tag:'specialties_link4'})}},specialties_link4,,Enlace Youtube,Collegamento Youtube,Youtube link,Link do Youtube,Lien Youtube
,especialidades_seccion10,$store.getters.getTags({ tag: 'footer_jumperr' }) }},footer_jumperr,,© Jumperr Digital Company,© Jumperr Digital Company,© Jumperr Digital Company,© Jumperr Digital Company,© Jumperr Digital Company
,especialidades_seccion10,$store.getters.getTags({ tag: 'footer_polity' }) }},footer_polity,,Políticas y Privacidad,Politiche e privacy,Policies and Privacy,Políticas e Privacidade,Politiques et confidentialité
,especialidades_seccion10,$store.getters.getTags({ tag: 'footer_terms' }) }},footer_terms,,Términos y Condiciones,Termini e condizioni,Terms and Conditions,Termos e Condições,Termes et conditions
,Contacto,{{$store.getters.getTags({tag:'conctac_text1'})}},conctac_text1,,Queremos conocer qué necesidades tienes para asesorarte de manera integral en la proyección de tu marca.,Vogliamo sapere cosa stai cercando per poterti consigliare  integralmente sulla proiezione del tuo marchio.,We want to know what are your needs in order to advise you in an integral way in the projection of your brand.,"Queremos saber quais são as suas necessidades, a fim de aconselhá-lo de forma integral na projeção de sua marca.",Nous voulons savoir quels sont vos besoins afin de vous conseiller de manière intégrale dans la projection de votre marque.
,Contacto,{{$store.getters.getTags({tag:'conctac_text3'})}},conctac_text3,,"La Compañía
Diseñamos, desarrollamos, implementamos y creamos soluciones, utilizando altos estándares de calidad con tecnología de vanguardia, dándole un enfoque auténtico a tus proyectos; desarrollando una experiencia significativa y duradera con ideas innovadoras e incorporando nuevas estrategias adaptadas a tus necesidades.
¡Asumamos el reto de forjar el futuro!","La Compagnia    Disegnamo, sviluppiamo, implementiamo e creiamo soluzioni digitali, secondo i più  alti standard di qualità, con tecnologie all'avanguardia, dando al tuo progetto un carattere autentico; svliluppando un 'esperienza significativa e duratura con idee innovative ed incorporando nuove strategie adatte alle tue necessità. Accettiamo la sfida di forgiare il futuro!","The Company
We design, develop, implement and create solutions, using high quality standards with state-of-the-art technology, giving you an authentic approach to your projects; developing a meaningful and lasting experience with innovative ideas and incorporating new strategies adapted to your needs.
Let's take up the challenge of forging the future!","A Empresa
Nós projetamos, desenvolvemos, implementamos e criamos soluções, usando padrões de alta qualidade com tecnologia de ponta, dando a você uma abordagem autêntica para seus projetos; desenvolver uma experiência significativa e duradoura com ideias inovadoras e incorporar novas estratégias adaptadas às suas necessidades.
Vamos aceitar o desafio de forjar o futuro!","L'Entreprise
Nous concevons, développons, mettons en œuvre et créons des solutions en respectant des normes de qualité élevées et une technologie de pointe, vous donnant ainsi une approche authentique de vos projets. développer une expérience significative et durable avec des idées innovantes et incorporer de nouvelles stratégies adaptées à vos besoins.
Relevons le défi de forger l'avenir!"
,Contacto,{{$store.getters.getTags({tag:'conctac_text4'})}},conctac_text4,,"Servicios
Servicios innovadores que marcan tendencia en el diseño web. Buscar una solución a tus necesidades y sueños, con una buena estrategia de inversión para agilizar y garantizar tus planes de negocios y opciones, para satisfacer necesidades con acciones que garantizan tu éxito.
¡Innovamos ideas, creamos soluciones!","Servizi    Servizi innovativi che fanno tendenza nel mondo del disegno web. Cercare una soluzione alle tue necessità e una risposta ai tuoi sogni, con una buona strategia d'investimento per agilizzare i tuoi business plan, per soddisfare nuove esigenze. Innoviamo idee, creiamo soluzioni!","About Us
Innovative services that set trends in web design. Find a solution to your needs and dreams, with a good investment strategy to streamline and guarantee your business plans and options, to satisfy your needs with actions that guarantee your success.
We innovate ideas, we create solutions!","Sobre Nós
Serviços inovadores que definem tendências em web design. Encontre uma solução para suas necessidades e sonhos, com uma boa estratégia de investimento para agilizar e garantir seus planos e opções de negócios, para satisfazer suas necessidades com ações que garantam seu sucesso.
Inovamos ideias, criamos soluções!","À Propos de Nous
Services innovants qui définissent les tendances de la conception web. Trouvez une solution à vos besoins et à vos rêves, avec une bonne stratégie d’investissement pour rationaliser et garantir vos plans d’affaires et vos options, pour satisfaire vos besoins.
Nous innovons des idées, nous créons des solutions!"
,Contacto,{{$store.getters.getTags({tag:'conctac_text2'})}},conctac_text2,,Queremos vivir contigo la experiencia de crecer profesionalmente.,Vogliamo vivere con te l'esperienza di crescere professionalmente.,We want to live with you the experience of growing professionally.,Queremos conviver com você a experiência de crescer profissionalmente.,Nous voulons vivre avec vous l'expérience de la croissance professionnelle.
,Contacto,{{$store.getters.getTags({tag:'conctac_text5'})}},conctac_text5,,Nombre,Nome,Name,Nome,Prénom
,partners,{{$store.getters.getTags({tag:'partners_titulo'})}},partners_titulo,,Partners,Partners,Partners,Parceiros,Nos Partenaires
,partners,{{$store.getters.getTags({tag:'partners_text1'})}},partners_text1,,¿Estás buscando un aliado digital para tu empresa?,Stai cercando un alleato digitale per la tua azienda?,Are you looking for a digital ally for your company?,Você está procurando um aliado digital para sua empresa?,Vous recherchez un allié numérique pour votre entreprise?
,partners,{{$store.getters.getTags({tag:'partners_text22'})}},partners_text22,"<h4 class=""text-center title-border-bottom"">Potenciamos tus ideas, <strong>aumentamos tu exito</strong>.</h4>","<h4 class=""text-center title-border-bottom"">Potenciamos tu idea, <strong>aumentamos tu éxito</strong></h4>.","<h4 class=""text-center title-border-bottom"">Potenziamo la tua idea, <strong>aumentiamo il tuo successo.</strong></h4>.","<h4 class=""text-center title-border-bottom"">We empower your idea,<strong> we increase your success.</strong></h4>.","<h4 class=""text-center title-border-bottom"">Nós fortalecemos sua ideia, <strong>aumentamos seu sucesso.</strong></h4>.","<h4 class=""text-center title-border-bottom"">Nous renforçons votre idée, <strong>nous augmentons votre succès.</strong></h4>."
,partners,{{$store.getters.getTags({tag:'partners_text23'})}},partners_text23,,"
¿Qué ofrecemos para hacer crecer la cartera de clientes a nuestros socios?",Cosa offriamo per far crescere il portafoglio clienti dei nostri soci?,"
 What do we offer to grow the client portfolio of our partners?",O que oferecemos para aumentar a carteira de clientes de nossos parceiros?,Que proposons-nous pour développer le portefeuille de clients de nos partenaires?
,partners,{{$store.getters.getTags({tag:'partners_text2'})}},partners_text2,,Proveemos servicios digitales de calidad.,Forniamo servizi digitali di alta qualità., We provide quality digital services., Nós fornecemos serviços digitais de qualidade.,Nous fournissons des services numériques de qualité.
,partners,{{$store.getters.getTags({tag:'partners_title1'})}},partners_title1,,IDENTIDAD DE MARCA Y COMUNICACIÓN,IDENTITA' DEL MARCHIO E COMUNICAZIONE,IDENTITY OF BRAND AND COMMUNICATION,IDENTIDADE DE MARCA E COMUNICAÇÃO,IDENTITÉ DE MARQUE ET DE COMMUNICATION
,partners,{{$store.getters.getTags({tag:'partners_text3'})}},partners_text3,,A través de nuestra red de técnicos y colaboradores podemos apoyar a nuestros clientes en el posicionamiento estratégico online de su marca.,Attraverso la nostra rete di tecnici e collaboratori possiamo aiutare i nostri clienti a posizionare strategicamente  il proprio marchio sul web., Through our network of technicians and collaborators we can support our clients in the strategic online positioning of your brand.," Através da nossa rede de técnicos e colaboradores, podemos apoiar os nossos clientes no posicionamento estratégico online da sua marca."," Grâce à notre réseau de techniciens et de collaborateurs, nous pouvons assister nos clients dans le positionnement stratégique en ligne de votre marque."
,partners,{{$store.getters.getTags({tag:'partners_title2'})}},partners_title2,,INNOVACIÓN DE PROCESO,INNOVAZIONE DEI PROCESSI,PROCESS INNOVATION,INOVAÇÃO DO PROCESSO,INNOVATION DE PROCESSUS
,partners,{{$store.getters.getTags({tag:'partners_text4'})}},partners_text4,,"Nuestros socios y clientes siempre pueden contar con nuestros consejos y asesoramiento, garantizados por décadas de experiencia y conocimiento.","I nostri soci e clienti possono sempre contare su i nostri consigli, garantiti da anni di esperienza e conoscenza.","Our partners and clients can always count on our advice and counseling, guaranteed by decades of experience and knowledge.","Nossos parceiros e clientes podem sempre contar com nossos conselhos e aconselhamento, garantidos por décadas de experiência e conhecimento.","Nos partenaires et clients peuvent toujours compter sur nos conseils et nos conseils, garantis par des décennies d'expérience et de connaissances."
,partners,{{$store.getters.getTags({tag:'partners_title3'})}},partners_title3,,DISEÑO Y DESARROLLO,DISEGNO E SVILUPPO,DESIGN AND DEVELOPMENT,DESIGN E DESENVOLVIMENTO,DESIGN ET DÉVELOPPEMENT
